method,budget_fraction,generator_gap_ratio,status,objective_normalized,label_component,generator_component,noise_component,active_clients,raw_clients,interior_clients,full_clients,mean_u_active,budget,full_budget,total_payment,budget_utilization,active_original_samples,synthetic_samples_proxy,active_indices,u,normalized_absolute_gap,solver_failures
continuous,0.4,0.30857142857142855,ok,0.6048952537754902,0.4365360137763209,0.16577250703904353,0.002586732960125739,6,0,6,0,0.2918279672205472,1.5706666666666667,3.9266666666666663,1.394768390677573,0.8880104354908147,45000,11356.854679812148,"[0, 1, 2, 3, 4, 5]","[0.27822535241737995, 0.2593260764575789, 0.3585466516186364, 0.3188906064436109, 0.3425026949666973, 0.19347642141938004]",7.084700559545354e-08,0
three_state,0.4,0.30857142857142855,ok,0.8445148539044515,0.8100208055485897,0.031907315395735956,0.002586732960125739,6,5,0,1,0.16666666666666666,1.5706666666666667,3.9266666666666663,1.2858,0.8186332767402378,45000,12861.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0
no_aigc,0.4,0.30857142857142855,ok,0.8530094308387358,0.85042269787861,0.0,0.002586732960125739,6,6,0,0,0.0,1.5706666666666667,3.9266666666666663,1.0,0.6366723259762309,45000,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.5,0.30857142857142855,ok,0.6048952537754902,0.4365360137763209,0.16577250703904353,0.002586732960125739,6,0,6,0,0.2918279672205472,1.9633333333333332,3.9266666666666663,1.394768390677573,0.7104083483926519,45000,11356.854679812148,"[0, 1, 2, 3, 4, 5]","[0.27822535241737995, 0.2593260764575789, 0.3585466516186364, 0.3188906064436109, 0.3425026949666973, 0.19347642141938004]",7.084700559545354e-08,0
three_state,0.5,0.30857142857142855,ok,0.8445148539044515,0.8100208055485897,0.031907315395735956,0.002586732960125739,6,5,0,1,0.16666666666666666,1.9633333333333332,3.9266666666666663,1.2858,0.6549066213921902,45000,12861.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0
no_aigc,0.5,0.30857142857142855,ok,0.8530094308387358,0.85042269787861,0.0,0.002586732960125739,6,6,0,0,0.0,1.9633333333333332,3.9266666666666663,1.0,0.5093378607809848,45000,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.02,0.4,ok,7.402514607554588,7.323056906187261,0.07665078007442952,0.002806921292897905,1,0,1,0,0.12784129939930258,0.07853333333333333,3.9266666666666663,0.07853333333333332,0.9999999999999998,3049,351.40359615407806,[3],"[0.0, 0.0, 0.0, 0.12784129939930258, 0.0, 0.0]",8.348877145181177e-14,0
three_state,0.02,0.4,ok,9.63003750224568,9.627230580952782,0.0,0.002806921292897905,1,1,0,0,0.0,0.07853333333333333,3.9266666666666663,0.06775555555555555,0.8627617430673458,3049,0.0,[3],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.02,0.4,ok,9.63003750224568,9.627230580952782,0.0,0.002806921292897905,1,1,0,0,0.0,0.07853333333333333,3.9266666666666663,0.06775555555555555,0.8627617430673458,3049,0.0,[3],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.04,0.4,ok,3.51391428726374,2.2700128488910103,1.2410945170798315,0.002806921292897905,1,0,1,0,0.5144170034086041,0.15706666666666666,3.9266666666666663,0.15706666666666663,0.9999999999999998,3049,2170.405768371837,[3],"[0.0, 0.0, 0.0, 0.5144170034086041, 0.0, 0.0]",5.662137425588298e-13,1
